매장명,주소,전화번호
금천독산점,"서울특별시 금천구 시흥대로 399, 1층 106호 (독산동, 시티렉스)",02-805-0201
명지국제신도시점,부산광역시 강서구 명지국제8로 245,051-271-3350
홈플러스울산남구점,"울산광역시 남구 수암로 148, 1층",052-267-9799
서울대입구역점,"서울특별시 관악구 관악로 164, 1층 114호",02-877-2650
용인보라점,"경기도 용인시 기흥구 한보라1로 6, 102호(보라동, 제일프라자)",031-282-0703
충북옥천점,"충청북도 옥천군 옥천읍 금구리 18-25, 1층",043-731-4413
남양주다산역점,"경기도 남양주시 다산중앙로123번길 22-80, 1층 116호 (다산동, 신해메디컬타워)",031-557-7750
길음뉴타운점,"서울시 성북구 길음로 33, 상가B동 7호",02-909-9889
오산역점,"경기도 오산시 오산로212번길 8, 1층",031-373-9969
낙성대역점,"서울특별시 관악구 남부순환로 1950, 1층",02-877-8030
인천가정점,"인천광역시 서구 봉오재3로 101, 1층 일부호",070-8691-0608
대구영대병원역점,"대구광역시 남구 중앙대로 155, 1층(대명동)",053-656-7778
부산시청점,"연산동 1366-1(부산광역시 연제구 시청로 12), 203동 108호",051-866-3350
청라호수공원점,인천 서구 청라루비로 93 루비타워 111호,032-563-8838
인천산곡역점,"인천광역시 부평구 길주로 364번길 9, 1층 128호 (산곡동, 부평 IPARK)",032-503-7750
고양행신점,경기도 고양시 덕양구 무원로 6번길 36 남정씨티프라자 6차 1층,031-979-5500
익산부송점,"전북 익산시 무왕로 1195, 1226호",063-833-1313
홈플러스칠곡점,"대구광역시 북구 동암로 12길 8, 1층(동천동, 칠곡홈플러스)",0000
개롱역점,"서울시 송파구 동남로 240-6,1층 101호",02-443-0679
김해삼계점,"경남 김해시 삼계중앙로 31, 1층",055-312-6433
금천시흥점,"서울특별시 금천구 시흥대로 193, 제1층 106호(시흥동 아람아이씨티타워)",02-896-3888
대전신탄진점,"대전 대덕구 신탄진로 804-1 ,1층",042-934-0034
동탄목동점,"경기도 화성시 동탄신리천로 411, 1층 116호",031-373-8928
장안동사거리점,"서울시 동대문구 답십리로 289 장안동, 기륭빌딩) 1층",02-3394-6637
수락산역점,서울 노원구 동일로243길 10 1층,02-933-0784
의정부금오점,"경기도 의정부시 창사로 45, 지상1층 101호 ( 금오동, 플래티넘프라자 )",031-853-7786
천안아산삼성미즈병원점,"충남 아산시 배방읍 희망로 46번길 16, 1층",041-910-5555
당진읍내점,"충남 당진시 읍내동 224-4, 1층",041-353-2033
부산동아대부민점,부산광역시 서구 구덕로 220,051-241-3370
롯데아울렛의왕점,경기 의왕시 바라산로 1 롯데프리미엄아울렛 의왕 타임빌라스점 내부 1층,031-329-0624
인천송도랜드마크점,"인천광역시 연수구 랜드마크로 68, 301동 1층",032-832-7710
대전가수원점,"대전광역시 서구 도안동로 11번길 42 , 1층101,102호",042-545-2558
울산대왕암공원점,울산광역시 동구 등대로 99,052-232-5700
고양삼송점,경기도 고양시 덕양구 권율대로 890 1층,02-381-6800
인천검암역점,"인천광역시 서구 검바위로 26, 지상1층 환승통로 5호 (검암동, 검암역 (공항철도))",032-710-7120
은평응암점,"서울시 은평구 은평로 108, 1층",02-355-5999
서산터미널점,충남 서산시 안견로 184 4 1층,041-665-3370
울산공업탑점,"울산광역시 남구 삼산로 20, 1층",052-700-3106
광주오치점,"광주광역시 북구 설죽로 338, 1층(오치동)",062-265-5254
평택이충점,"경기도 평택시 이충로 49-31 삼원프라자 101,102호",031-666-0408
동탄역점,"경기도 화성시 동탄대로 489, 1층 110호",031-375-0770
인천영종운서점,"인천광역시 중구 신도시남로 137, 106호",032-752-3600
부산남포점,"부산광역시 중구 비프광장로 27, 1~3층",051-256-8800
하나로마트진접점,경기도 남양주시 해밀예당1로 28 하나로마트 1층,031-572-0401
수원망포역점,"경기 수원시 영통구 영통동 976-11, 1층",031-202-1718
진해용원점,"경상남도 창원시 진해구 안골로 348, 1층 116호(용원동, 용원그랜드쇼핑)",055-546-0708
안산선부점,"경기도 안산시 단원구 선부광장1로 69, 109",031-403-0714
해남군청점,전라남도 해남군 해남읍 중앙1로 148-1,061-536-0007
대구유천점,"대구광역시 달서구 월배로 51, 1층 113호(유천동, 진천역AK그랑폴리스)",053-642-0248
천안두정역점,"충남 천안시 서북구 두정로 258 , 107호(두정동,휴먼빌딩)",041-563-6477
구미구평점,"경상북도 구미시 인동36길 7, 1층상가(구평동)",054-475-7500
강남구청역점,"서울특별시 강남구 학동로 342, 지상1층 103호(논현동, 에스케이 허브블루)",02-545-7730
인천동암점,"열우물로 35-1, 1층",032-437-3350
광주양산점,"광주광역시 북구 하서로 400, 1층 공차(아이맘아동병원)",062-571-1171
까치산역점,"서울특별시 강서구 강서로 27, 1층 104호",02-2690-7730
부산대점,"부산광역시 금정구 금정로68번길 22, 1층(장전동)",051-711-0615
계룡엄사점,엄사면 엄사중앙로 99,042-551-5242
수유역점,"서울시 강북구 도봉로87길 7, 1층",02-6080-7527
인천원당점,"인천광역시 서구 원당대로 862,103, 104호(당하동)",032-568-1107
대전복수점,"대전시 서구 복수동로 56, 1층 101호(복수동)",042-582-3370
원주기업도시점,"강원도 원주시 지정면 신지정로 211, 119호",033-731-0709
거제옥포점,"경상남도 거제시 옥포로 207, 1층",055-9503570
한국외대점,"서울특별시 동대문구 휘경로5길 3, 1층",02-965-6588
원주중앙점,"강원도 원주시 중앙동 60-12, 1층",033-743-3307
목동파리공원점,"서울특별시 양천구 목동서로 65, 1층 105, 106, 107호",02-2655-0708
울산태화강점,울산광역시 중구 태화강국가정원길 217(태화동),052-211-7730
용인백현마을점,"경기도 용인시 기흥구 동백7로 77, 101-3호",031-275-3350
충북진천점,"충북 진천군 진천읍 중앙동로 69, 1층",043-537-3350
화성시청점,"경기도 화성시 남양읍 시청로 123, 1층",031-355-1322
동탄북광장점,경기도 화성시 동탄반석로 204 동탄제일프라자 1층 108호,0507-1467-7753
동탄레이크꼬모점,"경기 화성시 동탄대로 181, 1층",070-4085-0407
대구각산역점,대구광역시 동구 금강로15 1층,053-962-0403
더현대서울점,"서울특별시 영등포구 여의도동 22, 더현대서울 지하1층",02-3277-0776
대구평리점,대구광역시 서구 국채보상로 258(평리동),053-523-0407
아산탕정점,"충남 아산시 탕정면 탕정면로 4 , 101호",041-532-0782
병점진안점,"경기 화성시 효행로 1051, 1층",031-231-1077
수원대점,"경기도 화성시 봉담읍 와우안길 35, 1,2층",031-221-9408
홍성로데오점,"충남 홍성군 홍성읍 조양로 146-1 , 1층",041-631-7730
인천논현점,"인천광역시 남동구 논고개로123번길 14, 101호,102호(논현동)",032-424-0880
용인한숲시티점,경기 용인시 처인구 남사읍 한숲로 84 근린생활시설동 101-102호,031-328-8523
아산둔포점,"충청남도 아산시 둔포면 아산밸리중앙로 50, 1층",041-532-7750
순천오천점,"전라남도 순천시 오천6길 10, 1층",061-741-2756
진영휴게소부산방향점,"경상남도 김해시 진영읍 하계로 96번길 94-4, 진영(부산)휴게소내",055-334-8700
전주에코시티점,"전주시 덕진구 세병로 21, 1층 B139호(송천동2가, 포레나 전주에코시티)",063-252-0456
수지상현점,"경기도 용인시 수지구 만현로 120, SR프라자 1층 124호",031-897-3636
암사역점,"서울시 강동구 올림픽로 777,1층 101호(암사동)",02-428-7750
공주중동점,충남 공주시 웅진로 161-1(중동),041-858-0008
현대아울렛대전점,대전광역시 유성구 용산동 579 현대프리미엄아울렛 대전점 3층,042-332-2826
파주야당점,"경기도 파주시 경의로 1074, 115호",031-948-0454
순천신대점,"전라남도 순천시 해룡면 신대로 118, 1층",061-723-2252
대구이곡점,"대구광역시 달서구 계대동문로 123, 119동 1층 114호(이곡동, 성서우방타운)",053-588-0099
대전은행중앙로점,"대전광역시 중구 중앙로 156번길 35,1층(은행동)",042-224-7878
대전죽동점,"대전시 유성구 죽동로279번길 34, 지상1층(죽동)",042-825-1947
수지롯데몰점,"경기도 용인시 수지구 성복2로 38, 롯데몰성복점 지하1층 공차",031-5174-4056
안성공도점,"경기도 안성시 공도읍 공도로 93,103~104호",031-647-9508
현대아울렛남양주점,"경기도 남양주시 다산순환로 50, 현대프리미엄아울렛 SPACE-A 178-1호 (다산동)",031-8078-2084
용인상현역점,"경기도 용인시 수지구 광교중앙로 308, 1층 106호",031-211-8850
대전반석점,"대전광역시 유성구 반석동로51 ,1층104호(반석동 , 쎈타프라자2)",042-824-5980
대구복현점,대구광역시 북구 동북로 301,053.954.3644
삼척점,강원도 삼척시 척주로 16,033-575-0705
녹번역점,서울시 은평구 은평로 226,02-3157-5866
오목교역점,"서울특별시 양천구 오목로 329, 지상 1,2층 (목동)",02-2645-9600
부산동대신점,부산광역시 서구 구덕로 316,051-256-7776
청주강서점,충북 청주시 흥덕구 강서로 118 104호,043-236-2223
상일동역점,"서울시 강동구 고덕로 399,메가스퀘어동 1층 105호(고덕동,고덕센트럴푸르지오)",02-427-1878
스타필드안성점,안성시 공도읍 서동대로 3930-39  스타필드안성 3층 3190호,031-8092-1834
계양구청점,"인천광역시 계양구 계산새로 93, 밀레니엄프라자 1층 107호(용종동)",032-543-7531
청주하복대점,"충북 청주시 흥덕구 진재로 49, 1층(복대동)",043-232-1227
대전도안점,"대전시 유성구 도안대로 512-11, 103호(봉명동)",042-823-1107
울산언양점,울산광역시 울주군 언양읍 헌양길 157,052-254-3546
광명사거리점,"경기도 광명시 광명로 895, 1층(광명동)",02-2613-1764
NC구로점,"서울특별시 구로구 구로중앙로 152, 지하1 층(구로동)",02-6923-2102
중계은행사거리점,"서울시 노원구 한글비석로 245, 두타빌 B동 101,102호",02-939-0039
나주중앙점,"전라남도 나주시 중앙로 42, 1층",061-331-9546
동해천곡점,강원도 동해시 천곡동 10721 106호,‭033-533-0807 ‬
충남서천점,충남 서천군 서천읍 서천로142번길 4,041-453-8288
김해인제대점,"경남 김해시 인제로 200번길 2, 2층",055-322-3350
신세계아울렛시흥점,"경기도 시흥시 서해안로 699, 1층(정왕동)",031-8072-3111
천안서북점,"충청남도 천안시 서북구 삼성대로 20,이마트 1층",041-523-0706
수원광교점,"경기도 수원시 영통구 센트럴타운로94, 1층 102호(이의동, 앤에스코어빌딩)",031-212-7753
왕십리센트라스점,"서울특별시 성동구 왕십리로 357, 1층",02-2293-6000
가톨릭서울성모병원점,"서울특별시 서초구 반포대로 222, 지하1층",-
아트몰링하단점,"부산광역시 사하구 낙동남로 1413, 7층",051-999-7590
광주하남점,"광주광역시 광산구 무진대로 279, 1층 110, 111호(우산동)",062-954-5500
당진터미널점,"충청남도 당진시 밤절로 136, 1층",041-353-2400
호매실금곡점,"경기도 수원시 권선구 금곡로 102번길 29, A동 1층 105호(금곡동, 센트럴프라자)",031-278-2542
석촌역점,"서울시 송파구 백제고분로 387,1층 101호,102호",02-6326-7030
하남시청점,"경기도 하남시 대청로 11,1층(신장동,백천빌딩)",031-793-0611
여의도전경련회관점,"서울특별시 영등포구 여의대로 24, B1층 B119호",02-786-0535
여수여서점,"전라남도 여수시 여서동 1길 46-1, 1층",061-651-3200
수원호매실점,"경기도 수원시 권선구 금곡로 213, 1층 107, 108호",031-296-3110
가재울점,"서울 서대문구 가재울미래로2 별동상가동 1층 107-1,2호(남가좌동, DMC파크뷰자이)",02-303-4911
진주과기대점,"동진로 25, 1층",055-753-5291
분당아름마을점,"경기도 분당구 판교로 441, 남서울프라자 1층",031-708-7408
안양역사점,"만안구 만안로 232(안양동, 안양역)",031-441-3098
대전중촌점,"대전광역시 중구 목중로10번길 1 ,1층 (중촌동)",042-223-4315
대구본리점,"대구광역시 달서구 와룡로 130, 1층(감삼동)",053-525-0727
가평휴게소춘천방향점,설악면 미사리로540번길 51 가평휴게소 춘천방향,031-584-1425
가평휴게소서울방향점,설악면 미사리로 544 가평휴게소 서울방향,031-584-1425
김포사우역점(25.04.폐점),"사우중로 78, 108호, 109호(사우동, 밀레니엄프라자)",031-988-3090
엔터식스강남점,"서울특별시 서초구 신반포로 176, 고속터미널역 지하1층 25호, 엔터식스강남점",-
양주옥정점,경기도 양주시 옥정로 196,031-928-5280
부산구서점,"부산광역시 금정구 중앙대로1841번길 24, 2층",051-517-6777
SRT수서역점,"서울시 강남구 밤고개로 99(수서역사), 지하2층",070-4110-6888
평택로데오점,경기도 평택시 평택2로 7,031-654-7789
화순광덕점,"전라남도 화순군 화순읍 중앙로 94, 1층(동원빌딩)",061-927-3091
수원인계점,경기도 수원시 팔달구 권광로 181,031-221-4411
대구황금점,"대구광역시 수성구 청수로 176, 1층(지산동)",053-767-6336
춘천명동점,"강원도 춘천시 중앙로67번길 3, 1층(중앙로2가)",033-251-3350
롯데영등포점,서울 영등포구 경인로 846 롯데백화점 지하1층,02-2164-5083
대전관평점,"대전시 유성구 테크노4로 115, 1층 103호(관평동)",042-935-9777
롯데구리점,"경기도 구리시 경춘로261, 지하1층 (인창동, 롯데백화점 구리점)",031-550-7961
대학로마로니에점,"종로구 대학로 10길 20 (동숭동, 1층)",02-742-7756
AK&수원점,경기도 수원시 팔달구 덕영대로 924 AK프라자 AK& 2층,031-240-1972
안산중앙역사점,"경기도 안산시 단원구 중앙대로 918, 1층(고잔동, 중앙역)",031-482-3380
광주동명점,광주광역시 동구 동계천로 145,062-222-3222
홈플러스울산점,"울산광역시 중구 번영로 475,1층",052-282-0131
천안역점,충남 천안시 동남구 대흥로 239,-
서산한서대점,충청남도 서산시 해미면 한서1로 36,041-688-7336
천안남서울대점,충남 천안시 서북구 성환읍 성진로 65,041-417-7391
평택안중점,경기도 평택시 안중읍 안현로서 6길 52,031-682-0745
포항이동점,"경상북도 포항시 남구 대이로 112-1, 1층(대잠동)",054-278-1237
잠실학원사거리점,"석촌호수로 138, 101호",02-416-2202
구미상모점,"경상북도 구미시 상사서로 62, 1층(상모동)",054-461-2541
서강대점,"서울특별시 마포구 백범로 35, 1층 102호 (노고산동, 서강대학교)",02-715-8807
부산영도점,부산광역시 영도구 태종로99번길 2,051-944-8804
어린이대공원점,서울시 광진구 광나루로 398,02-462-8830
쌍문역점,"서울특별시 도봉구 도봉로 468, 홍일빌딩 106호(창동)",02-904-5200
롯데시네마구리아울렛점,"경기도 구리시 동구릉로 136번길 47, 롯데아울렛 구리점 6층 (인창동)",000-0000
영종하늘도시점,인천광역시 중구 하늘별빛로75,032-710-7735
김제터미널점,전라북도 김제시 동서로 235,070-7543-3832
포항두호점,"경북 포항시 북구 두호로 25, 아이코아 102, 103호",054-248-1236
울산구영점,울산광역시 울주군 범서읍 구영로 82,052-242-6122
천안신방중앙점,"충남 천안시 동남구 서부대로 227, 1층(신방동)",041-575-7391
김해율하점,"경남 김해시 율하3로 41, 1층",055-333-8830
사가정역점,서울시 중랑구 면목로 313,02-434-7177
천안청수점,충남 천안시 동남구 청당동 548-2 더다움트윈브릿지 빌딩 1층,041-555-5210
인천국제공항6호점,인천 중구 공항로 272 제1여객터미널,032-743-8087
경북도청점,호명면 새움3로 36,054-655-4445
천안불당파크점,천안시 서북구 불당동 1489번지 중원프라자,041-552-3357
동탄영천점,"경기도 화성시 동탄순환대로 696, 경서프라자 1층 106호",031-378-9367
현대아울렛송파점,"서울시 송파구 충민로 66,지하1층 (문정동,가든파이브라이프)",02-2673-2070
하남미사점,경기도 하남시 미사강변대로 226번안길15,031-796-0776
NC안산고잔점,"경기도 안산시 단원구 광덕대로 194,  NC안산고잔 지하1층",없음
롯데시네마전주점,"전라북도 전주시 완산구 온고을로 2 (서신동, 롯데백화점) 7층",없음
영천시청점,"경상북도 영천시 충효로 75, 1층(문외동)",054-337-0453
구미봉곡점,"경상북도 구미시 봉곡로 100, 1층(봉곡동, 봉곡프라자)",054-444-0401
양평점,경기도 양평군 양평읍 양평시장길 15,031-774-6440
롯데몰동부산점,"부산광역시 기장군 기장읍 기장해안로 147, 1층",없음
대전전민점,"대전시 유성구 유성대로 1734, 1,2층(전민동)",042-864-4338
롯데시네마광교점,"경기도 수원시 영통구 도청로 10, 광교센트럴푸르지오시티 4층",000-0000
충남부여점,충남 부여군 부여읍 사비로 95,041-836-9007
대구테크노폴리스점,"대구광역시 달성군 유가읍 테크노상업로 82, 1층 105, 106호",053-617-6888
광교중앙역점,"경기도 수원시 영통구 도청로 지하 45, 광교중앙역 B2층 2호",031-212-3367
일산백마점,경기도 고양시 일산동구 일산로 235,031-908-4566
천안고속터미널점,충청남도 천안시 동남구 신부동 363-2,없음
충남태안점,"충남 태안군  동백로 317, 1층",041-673-7971
제주일도점,"제주특별차지도 제주시 고마로 101(일도이동), 1층",064-702-3156
강릉교동점,"강원도 강릉시 솔올로 5번길 55, 1층 104호(교동)",033-641-0707
목포장미거리점,"전라남도 목포시 비파로 51번길 31-1, 1층",061-281-9393
청주봉명점,"충북 청주시 흥덕구 백봉로 221, 1층(봉명동, 덕암빌딩)",043-260-0888
시흥배곧점,경기도 시흥시 서울대학로 278번길34,031-365-5687
롯데아울렛김해점,경상남도 김해시 장유로 469 (신문동),000-0000
부산덕천점,부산광역시 북구 덕천1길 19,051-333-0404
충주성서점,"충북 충주시 성서3길 16(성서동, 103호)",043-856-5580
청주대점,충북 청주시 청원구 상당로 252,043-241-1000
제천중앙점,충북 제천시 풍양로13길 14,043-643-7010
속초중앙점,강원도 속초시 청초호반로 332,033-633-7820
한티역점,서울특별시 강남구 선릉로 314,02-562-3311
군산조촌점,"전북 군산시 궁포1로 24-5, 1층 102호(조촌동)",063-910-2006
천안성정점,충남 천안시 서북구 성정두정로 12,041-566-0701
신사세로수길점,"서울시 강남구 논현로 175길 60, 1층",02-548-8110
수원정자점,경기도 수원시 장안구 정자천로173번길 11-17,031-269-9210
부산화명점,"부산광역시 북구 화명대로31, 현호타워 1층 103호",051-365-7750
원마운트점,"경기도 고양시 일산서구 한류월드로 300 원마운트 1199, 1200호",031-961-6707
청주분평점,"충청북도 청주시 서원구 1순환로1107번길 21, 1,2층",043-286-6232
천안두정점,충남 천안시 서북구 두정로 165,041-566-9423
충북증평점,"충북 증평군 증평읍 중앙로 211, 1층",043-838-9008
아산배방점,충남 아산시 배방읍 모산로 124,041-546-0052
이천로데오점,"경기도 이천시 어재연로 37번길 25-1 , 1~2층(창전동)",031-634-0085
안산상록수점,"경기도 안산시 상록구 용신로 383, 1층 102호(본오동, 삼우프라자)",031-415-5559
청주가경점,"충북 청주시 흥덕구 가경로 10, 1층(가경동, 엘리트빌딩)",043-231-5800
분당정자역점,"경기도 성남시 분당구 성남대로 331번길 3-3, 1층",031-8023-9224
서울숲점,성동구 왕십리로94~2 1층,02-497-9777
제주아라점,"제주특별자치도 제주시 중앙로 566, 1층",064-758-0705
홍천점,"강원도 홍천군 홍천읍 신장대로 62, 1층 2호",033-433-5642
경주노동점,"경북 경주시 계림로 101, 1층",0502-411-8418
구미형곡점,"경상북도 구미시 신시로 67, 1층(형곡동)",054-454-0404
경성대점,"부산광역시 남구 용소로 9, 2~3층 (대연동, 성신빌딩)",051-611-7730
서면삼정타워점,"부산광역시 부산진구 중앙대로 672, 13층",051-804-1452
울산테라스파크점,"울산광역시 동구 방어진순환도로 652, C동 112호",052-201-0708
스타필드시티부천점,경기도 부천시 소사구 옥길동 768 스타필드시티부천점 3층,없음
파주금릉점,"경기도 파주시 금빛로 24-17, 1층 103호(금촌동, 월드프라자)",010-4477-7995
울산달동점,"울산광역시 남구 신정로 22, 1층",052-979-9997
구리갈매점,경기 구리시 경춘북로 252 아이파크애비뉴 B동 147,031-529-7531
구의점,서울 광진구 아차산로 471 1층,02-456-3010
서울역점,서울 중구 한강대로 405 지하1층 헌혈의집 옆,02-313-7750
사천벌리점,경남 사천시 주공로 29,055-833-7300
아산호서대점,"충남 아산시 배방읍 호서로 79번길 14 , 1층",041-543-2369
대전보건대점,대전시 동구 가양동 146-18번지,042-300-3002
아산모종점,"충남 아산시 모종동 557-16번지, 우전빌딩 1층",041-543-2514
파주문산점,"경기도 파주시 문산읍 문향로67번길 2, 1층",031-952-9458
김천신음점,"경상북도 김천시 시청로 95, 상가동 1층 101호",02-779-7758
여주아울렛,"경기 여주시 명품로 370, 9014호",031-8087-2066
부천역점,"경기도 부천시 부천로 1, 지하1층 43호, B-05호",070-4254-8786
대전용문점,"대전시 서구 계룡로 616, 105호",042-537-7335
경남거창점,경상남도 거창군 거창읍 상림리 797-3,070-7622-3889
판교역점,"경기도 성남시 분당구 판교역로 192번길 12, 1층",031-8061-7065
거제고현점,"경상남도 거제시 서문로 72, 1층 101호 (고현동, 태원회관)",055-638-1254
광양중마점,"전라남도 광양시 공영로 75, 1층 (중동)",061-795-0253
NC울산성남점,울산광역시 중구 시계탑거리 20,없음
아산순천향대점,충남 아산시 신창면 읍내리 457-15,041-541-6745
조치원점,세종시 조치원읍 조치원1길 6,044-864-3554
청주오창점,"충북 청주시 청원구 오창읍 오창대로 315, 108호",043-215-3366
이대서울병원점,"서울특별시 강서구 공항대로 260, 지하1층 (마곡동, 이화의대부속서울병원)",02-6951-2022
부평삼산점,"인천시 부평구 길주로 635, 1층",032-504-7531
전주만성지구점,"전라북도 전주시 덕진구 만성중앙로 51, 1동 105호(만성동, 비젼타워)",063-287-0707
롯데시네마인천아시아드점,"인천광역시 서구 봉수대로 806, 인천아시아드주경기장 2번게이트 롯데시네마 옆",070-7403-9111
동탄솔빛나루점,경기도 화성시 동탄솔빛로 47,031-8015-3400
천안쌍용점,"충청남도 천안시 서북구 월봉로 79, 1층",041-573-0055
수완장신로점,"광주광역시 광산구 장신로 142, 1층(수완동)",062-710-6617
대구현대시티아울렛점,"대구광역시 동구 동대구로 454, 4층",053-430-2282
군산나운점,전라북도 군산시 하나운로 68(나운동),063-468-0022
평촌역점,"경기도 안양시 동안구 관평로 170번길 43, 1층 129호(관양동, 훼미리타운)",031-381-8989
센트럴시티점,서울시 서초구 신반포로 176 센트럴시티 1층,02-6282-5801
청주오송점,"충청북도 청주시 흥덕구 오송읍 오송생명5로 179 103호(만수리, 청송빌딩)",043-239-1300
숙명여대점,"서울특별시 용산구 청파로47길 78, 1층",02-715-3303
경주황성점,"경상북도 경주시 황성로37, 1층",054-777-1133
제주삼화점,제주특별자치도 제주시 건주로 37,064-721-9951
대한상공회의소점,서울시 중구 세종대로 39 대한상공회의소 B1,02-6050-1177
전주서신점,"전라북도 전주시 완산구 당산로 52, 103호(서신동)",063-271-7335
경산사동점,경북 경산시 백자로10길 1 공차 경산 사동점,053-269-0707
전주아중점,"전라북도 전주시 덕진구 무삼지로 84, 1층(인후동1가)",063-244-0071
전주중화산점,"전라북도 전주시 완산구 유연로 285, 1층(서신동)",063-247-0707
용산아이파크몰점,"서울특별시 용산구 한강대로23길 55 6층 703호(한강로3가, 서관 아이파크몰)",02-2012-0709
광주금호점,광주광역시 서구 금화로 87(금호동),062-372-1001
한양대한양플라자점,"서울특별시 성동구 왕십리로 222, 1층(사근동, 한양대학교 학생복지관)",070-8876-5000
진해석동점,"경상남도 창원시 진해구 진해대로 762, 1층 102호(석동, 진해미래쇼핑센터)",055-552-0708
제주연동점,제주특별자치도 제주시 신광로 35,064-783-7000
야탑역사점,"경기도 성남시 분당구 성남대로 지하 903, 맞이방",031-778-6197
수원역로데오점,경기도 수원시 팔달구 향교로 16-2,031-256-1027
전남영광점,"전라남도 영광군 영광읍 중앙로 186, 1층",061-351-9599
일산후곡점,"경기도 고양시 일산서구 일산로547, 일신1조합상가 1층 103호",031-923-6880
안성휴게소점 부산방향,"경기도 안성시 원곡면 경부고속도로 365, 안성(부산방향)휴게소",031-655-0531
광주동천점,"광주광역시 서구 하남대로 670, 1층(동천동)",062-523-7890
원주단계점,"강원도 원주시 북원로 2235-4, 1층 115호(단계동)",033-900-5554
구미옥계점,"경상북도 구미시 옥계북로 36, 1층 105호(옥계동, 메디칼타워)",054-471-2356
롯데시네마 성남중앙점,경기도 성남시 수정구 산성대로 269번길 11-1 8층,1544-8855
고양터미널점,"경기도 고양시 일산동구 중앙로 1036, 고양종합터미널 터미널동 지하1층(마크트할레) T16",-
파주교하점,"경기도 파주시 청석로 260, 1층 115호(동패동, 트리플메디칼타워)",031-942-3323
경북영주점,경상북도 영주시 대동로 26(가흥동),054-632-0345
군산수송점,"전라북도 군산시 월명로 254, 1층 110호(수송동, 더모나코빌딩)",063-462-7200
원주단구점,"강원도 원주시 서원대로 396, 1층 111호(단구동, 스타월드)",033-766-7556
첨단신용점,"광주시 북구 첨단연신로91번길 20-14, 1층 103호(신용동, 만강빌딩)",062-576-0600
별내로데오점,"경기 남양주시 별내중앙로 50, 1층 일부 (102, 103)호 (별내동, 청운프라자)",070-4090-0303
마산합성점,"경상남도 창원시 마산회원구 3.15대로 744, 1층 102호(합성동, 송하빌딩)",055-297-7707
홈플러스창원점,경상남도 창원시 의창구 창원대로 415 홈플러스 창원점 1층 공차 홈플러스창원점,055-277-2345
남원도통점,전라북도 남원시 용성로 200(도통동),063-625-2332
대전우송대점,"대전광역시 동구 백룡로 5, 1,2층",042-623-0070
기장정관점,부산광역시 기장군 정관읍 정관7로 9-4,051-727-2259
전주효자점,"전라북도 전주시 완산구 용머리로 50, 1층 101호(효자동1가)",063-221-8008
계명대점,대구 달서구 서당로9길 24,053-588-4674
속초아이파크점,"강원도 속초시 청호로 22, 2동 206호(조양동, 속초청호아이파크상가)",033-631-7820
범어로데오점,"대구광역시 수성수 달구벌대로 2513, 1층",053-742-1055
동국대점,"서애로1길 11, 지하1층 상가B124호(충무로 5가, 충무로헤센스마트)",02-2272-0919
강변테크노마트점,"광나루로56길 85, 테크노마트 9층 21,22,23호",02-452-0403
대구이월드점,"대구광역시 달서구 두류공원로 200, 이월드 83타워 4층",-
롯데중동점,"경기도 부천시 길주로 300, 지하 1층(중동, 롯데백화점 중동점)",-
대전노은점,"노은로 158, 지상1층 104호(지족동, 그랜드타운)",0428241188
마포역점,"마포대로 33, 1층 102호 (도화동, 마포 한화 오벨리스크)",02-713-7070
미사강변점,"경기도 하남시 미사강변중앙로198번길 35, 1층 112호",010-7667-6929
대진대점,경기도 포천시 선단동 산 11-1 대진대학교 정보전산원 2층,031-533-8588
청주율량점,충북 청주시 청원구 주성로279번길 8,043-214-7600
천안백석대점,"충남 천안시 동남구 문암로 70, 1층(안서동)",041-551-4567
홍성내포신도시점,"충남 홍성군 홍북읍 청사로174번길 2, 114호,115호",041-635-1246
황학롯데캐슬점,"청계천로 400, 지하2층 (황학동, 롯데캐슬베네치아)",02-2231-3314
청주금천점,"충청북도 청주시 상당구 산성로92번길 5 1층 101호(금천동, 경도빌딩)",043-298-0707
익산영등점,"전북특별자치도 익산시 무왕로13길 11(영등동, 시아)",063-832-9282
대구침산점,대구광역시 북구 침산로 153 105동 C5호,053-353-1740
호남대점,"광주광역시 광산구 어등대로 410, 1층(선암동)",062-942-0909
보령대천점,충남 보령시 중앙로 72(대천동),041-936-0503
패션아일랜드점,"대전광역시 동구 은어송로 72, 3층 3720,3730호(가오동, 패션아일랜드)",042-282-3913
여의도미원빌딩점,"서울 영등포구 국제금융로 70 1층 (여의도동,미원빌딩)",02-786-3500
신세계아울렛파주점,경기 파주시 탄현면 필승로 200 파주프리미엄 아울렛 1층,-
창원상남점,성산구 마디미로 21번길18 1층 107호(상남동 새마음프라자),070-8711-0707
경산하양점,"경상북도 경산시 하양읍 하양로 35, 105동 123호(하양3차 우방타운)",053-214-0090
대구죽곡점,대구 달성군 다사읍 달구벌대로 863 102호 (진광타워),053-585-0369
부천투나빌딩점,"경기도 부천시 부일로 223, 1층 2호(상동, 투나쇼핑센타)",032-227-7321
홍대입구역점,"서울 마포구 양화로 166, 1층",02-333-5588
분당푸른마을점,"경기도 성남시 분당구 돌마로356번길 3, 105호(수내동, 그랜드빌딩)",031-711-6194
부산사직점,부산광역시 동래구 사직북로 12 1층,051-505-5353
광주기독병원점,"광주광역시 남구 양림로 37, 광주기독병원 로비1층",062-654-0782
